Model,Train_MAE,Train_MSE,Train_R2,Test_MAE,Test_MSE,Test_R2
LinearRegression,81040.87138797277,10139634425.106672,0.918840114090963,82657.9460589262,10549721686.160782,0.9146454505137948
RobustRegression,200668.75937153221,62620264570.9008,0.49877349467512466,199465.55955429247,61664910393.24922,0.50108819907282
RidgeRegression,81041.3744325169,10139637317.357508,0.918840090940745,82659.67244409774,10549745186.67017,0.9146452603784101
LassoRegression,81040.87898162717,10139634427.279774,0.918840114073569,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,97895.23317410526,14817770838.423157,0.881395271244207,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,81110.1264854728,10210465346.106203,0.9182731676680309,83413.36439924638,10664698449.77084,0.9137152089253183
SGDRegressor,2.981692533653363e+17,1.3930816982659467e+35,-1.1150535310551123e+24,3.03679319190834e+17,1.4404708262709325e+35,-1.1654405877423774e+24
ANN,200398.66535193467,62343670953.4988,0.5009874114190982,199096.9531977374,61408780146.31122,0.5031604700281629
RandomForest,34880.01747873866,1973364980.685034,0.9842047484184716,98203.37301505827,14944732818.694021,0.8790867688382075
SVM,282033.23735521507,124885505670.76477,0.0003886760616592655,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,61243.459817679,5863859226.939191,0.9530643684089201,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,33455.252946012486,2043991183.3269975,0.9836394406067405,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,165172.4359127407,42058744600.134384,0.6633524671489012,198086.23684543537,60395811313.31432,0.5113560889227768
